id,tipo,texto,respuestas
1,persona,"Economista boliviano autor de 'La potencia plebeya'",Zavaleta;René Zavaleta;René Zavaleta Mercado
2,lugar,"Departamento de Bolivia cuya capital es Sucre",Chuquisaca
3,película,"Película de 1994 dirigida por Quentin Tarantino sobre dos sicarios",Pulp Fiction;Fiction Pulp
4,persona,"Físico alemán que desarrolló la teoría de la relatividad",Einstein;Albert Einstein
5,lugar,"Capital de Francia",París;Paris
6,película,"Película de 1972 dirigida por Francis Ford Coppola sobre la mafia italiana",El Padrino;The Godfather;Padrino
7,persona,"Autor de 'Cien años de soledad'",García Márquez;Gabriel García Márquez
8,lugar,"País sudamericano famoso por el tango",Argentina
9,película,"Película de 1977 sobre una guerra en las galaxias",Star Wars;Guerra de las Galaxias
10,persona,"Científica polaca ganadora de dos premios Nobel",Marie Curie;Curie
11,lugar,"Ciudad italiana conocida por sus canales",Venecia;Venice
12,película,"Película de 1993 sobre dinosaurios dirigida por Steven Spielberg",Jurassic Park;Parque Jurásico
13,persona,"Primer presidente de Estados Unidos",Washington;George Washington
14,lugar,"Montaña más alta del mundo",Everest;Monte Everest
15,película,"Película de 1939 sobre una chica y sus zapatos rojos",El Mago de Oz;Wizard of Oz
16,persona,"Artista que pintó 'La Mona Lisa'",Da Vinci;Leonardo da Vinci;Leonardo
17,lugar,"Desierto más grande del mundo",Sahara;Desierto del Sahara
18,película,"Película de 1982 sobre un extraterrestre perdido en la Tierra",E.T.;ET
19,persona,"Compositor alemán que escribió la 'Novena Sinfonía'",Beethoven;Ludwig van Beethoven
20,lugar,"País conocido como 'La Bota'",Italia

